Sample_Names	Total_Mutations	Cosine_similarity	L1_Norm	L1_Norm_%	100-L1_Norm_%	L2_Norm	L2_Norm_%	100-L2_Norm_%	KL_Divergence	Correlation
Bone-Benign@SP116571	1009	0.948	325.095	32.22	67.78	43.784	31.949	68.051	0.1002	0.877
Bone-Benign@SP116393	117	0.855	79.176	67.672	32.328	10.379	51.83	48.17	0.4914	0.764
Bone-Benign@SP116442	381	0.89	178.88	46.95	53.05	24.972	45.585	54.415	0.2193	0.763
Bone-Benign@SP116446	181	0.889	94.315	52.108	47.892	12.881	45.858	54.142	0.2773	0.795
Bone-Benign@SP116448	80	0.788	61.488	76.86	23.14	8.218	61.597	38.403	0.5712	0.629
Bone-Epith@SP116419	2810	0.912	1057.627	37.638	62.362	145.236	41.66	58.34	0.1249	0.714
Bone-Epith@SP116383	5556	0.978	1422.911	25.61	74.39	191.25	20.914	79.086	0.07	0.965
Bone-Epith@SP116385	2561	0.958	686.408	26.802	73.19800000000001	92.48	28.907	71.093	0.0612	0.871
Bone-Epith@SP116440	1776	0.961	520.951	29.333	70.667	67.669	27.756	72.244	0.0816	0.91
Bone-Epith@SP116450	3740	0.975	802.631	21.461	78.539	117.737	22.239	77.761	0.0566	0.948
Bone-Epith@SP116493	1742	0.961	444.33	25.507	74.493	61.42	27.905	72.095	0.065	0.886
Bone-Epith@SP116391	1547	0.934	520.661	33.656	66.344	75.853	35.84	64.16	0.1009	0.846
Bone-Epith@SP116401	1809	0.965	519.253	28.704	71.29599999999999	65.793	26.072	73.928	0.0696	0.924
Bone-Epith@SP116409	2665	0.974	569.816	21.381	78.619	75.038	22.581	77.419	0.0436	0.921
Bone-Epith@SP116416	1130	0.947	365.167	32.316	67.684	48.422	32.27	67.72999999999999	0.0994	0.865
Bone-Epith@SP116424	786	0.936	295.568	37.604	62.396	41.597	35.143	64.857	0.1283	0.879
Bone-Osteosarc@SP116515	1900	0.9	741.044	39.002	60.998	113.043	43.501	56.499	0.1387	0.757
Bone-Osteosarc@SP116499	4661	0.955	1212.699	26.018	73.982	166.994	29.632	70.368	0.0617	0.839
Bone-Osteosarc@SP116505	2521	0.949	766.527	30.406	69.594	105.149	31.491	68.509	0.0914	0.871
Bone-Osteosarc@SP116509	7394	0.986	1422.43	19.238	80.762	208.004	16.542	83.458	0.0372	0.979
Bone-Osteosarc@SP116437	1288	0.956	396.986	30.822	69.178	51.654	29.394	70.606	0.0917	0.898
Bone-Osteosarc@SP116512	5862	0.919	1965.643	33.532	66.468	276.631	39.664	60.336	0.0926	0.665
Bone-Osteosarc@SP116465	2011	0.948	586.438	29.162	70.838	77.177	31.97	68.03	0.0707	0.8
Bone-Osteosarc@SP116496	9510	0.983	1711.769	18	82	237.004	18.753	81.247	0.0332	0.96
Bone-Osteosarc@SP116525	4766	0.967	1311.353	27.515	72.485	172.297	25.502	74.498	0.0703	0.93
Bone-Osteosarc@SP116481	3725	0.969	978.372	26.265	73.735	143.494	24.934	75.066	0.0738	0.944
Bone-Osteosarc@SP116586	3675	0.936	1174.539	31.96	68.03999999999999	154.351	35.399	64.601	0.0782	0.73
Bone-Osteosarc@SP116528	5032	0.961	1243.912	24.72	75.28	173.217	28.085	71.91499999999999	0.0611	0.878
Bone-Osteosarc@SP116589	9231	0.925	3044.399	32.98	67.02000000000001	415.549	38.191	61.809	0.0889	0.673
Bone-Osteosarc@SP116406	2729	0.953	817	29.938	70.062	105.817	30.495	69.505	0.0829	0.866
Bone-Osteosarc@SP116484	1133	0.93	405.649	35.803	64.197	55.858	36.882	63.118	0.1114	0.821
Bone-Osteosarc@SP116453	2475	0.951	711.782	28.759	71.241	97.334	30.952	69.048	0.0765	0.857
Bone-Osteosarc@SP116469	2927	0.938	816.781	27.905	72.095	127.938	34.73	65.27000000000001	0.0646	0.81
Bone-Osteosarc@SP116578	5163	0.975	1043.926	20.219	79.781	133.034	22.288	77.712	0.033	0.887
Bone-Osteosarc@SP116531	1195	0.933	419.217	35.081	64.919	56.407	36.004	63.996	0.113	0.821
Bone-Osteosarc@SP116593	3620	0.951	1022.971	28.259	71.741	154.335	31.121	68.879	0.0649	0.887
Bone-Osteosarc@SP116487	1785	0.959	482.268	27.018	72.982	65.429	28.542	71.458	0.0747	0.887
Bone-Osteosarc@SP116456	2367	0.942	703.468	29.72	70.28	103.212	33.811	66.189	0.0873	0.84
Bone-Osteosarc@SP116472	6132	0.976	1464.334	23.88	76.12	190.303	22.451	77.549	0.0496	0.949
Bone-Osteosarc@SP116518	14101	0.955	3858.225	27.361	72.639	530.526	30.098	69.902	0.0699	0.865
Bone-Osteosarc@SP116412	2505	0.959	686.528	27.406	72.594	92.554	28.567	71.43299999999999	0.0576	0.888
Bone-Osteosarc@SP116534	1582	0.924	567.416	35.867	64.13300000000001	76.202	38.418	61.582	0.1062	0.76
Bone-Osteosarc@SP116596	6735	0.962	1589.133	23.595	76.405	218.113	27.512	72.488	0.0479	0.84
Bone-Osteosarc@SP116490	5057	0.928	1649.04	32.609	67.39099999999999	234.278	37.504	62.496	0.0883	0.762
Bone-Osteosarc@SP116459	5883	0.954	1700.908	28.912	71.088	230.799	30.285	69.715	0.0749	0.876
Bone-Osteosarc@SP116475	2939	0.957	783.234	26.65	73.35	102.938	29.242	70.758	0.0596	0.845
Bone-Osteosarc@SP116520	6217	0.963	1601.613	25.762	74.238	217.119	26.861	73.139	0.0581	0.902
Bone-Osteosarc@SP116431	9052	0.97	2091.191	23.102	76.898	295.576	24.255	75.745	0.0566	0.93
Bone-Osteosarc@SP116582	6988	0.967	1741.339	24.919	75.081	227.835	25.522	74.47800000000001	0.0557	0.909
Bone-Osteosarc@SP116599	2588	0.961	711.162	27.479	72.521	95.301	27.987	72.013	0.0799	0.9
Bone-Osteosarc@SP116478	4463	0.978	1026.037	22.99	77.01	137.77	20.975	79.025	0.0446	0.957
Bone-Osteosarc@SP116462	1752	0.96	479.043	27.343	72.657	62.837	27.995	72.005	0.0687	0.888
Bone-Osteosarc@SP116523	3083	0.956	876.643	28.435	71.565	117.674	29.518	70.482	0.0658	0.883
Bone-Osteosarc@SP116434	414	0.882	201.906	48.77	51.23	27.587	47.381	52.619	0.2197	0.732
Breast-AdenoCA@SP117956	1929	0.938	651.791	33.789	66.211	92.645	35.821	64.179	0.095	0.859
Breast-AdenoCA@SP117975	2500	0.958	738.608	29.544	70.456	111.05	29.483	70.517	0.0777	0.924
Breast-AdenoCA@SP2149	11020	0.965	2465.773	22.375	77.625	334.524	26.551	73.449	0.051	0.837
Breast-AdenoCA@SP117113	2117	0.957	642.118	30.332	69.668	95.407	29.01	70.99	0.0758	0.924
Breast-AdenoCA@SP117245	2538	0.972	682.18	26.879	73.121	96.954	24.435	75.565	0.0634	0.952
Breast-AdenoCA@SP117402	3967	0.99	811.839	20.465	79.535	117.656	14.442	85.55799999999999	0.0502	0.987
Breast-AdenoCA@SP117136	1493	0.961	430.242	28.817	71.18299999999999	60.612	27.781	72.219	0.0782	0.924
Breast-AdenoCA@SP117378	1843	0.97	429.928	23.328	76.672	61.956	25.563	74.437	0.0489	0.931
Breast-AdenoCA@SP116947	2707	0.966	665.347	24.579	75.42099999999999	101.506	26.839	73.161	0.0665	0.929
Breast-AdenoCA@SP117369	55654	0.997	5939.132	10.672	89.328	1680.141	7.357	92.643	0.028	0.997
Breast-AdenoCA@SP117244	2300	0.991	494.684	21.508	78.492	70.559	13.189	86.811	0.055	0.989
Breast-AdenoCA@SP117162	2998	0.978	657.766	21.94	78.06	89.59	20.949	79.051	0.0476	0.954
Breast-AdenoCA@SP117079	3169	0.997	476.42	15.034	84.966	66.478	7.802	92.19800000000001	0.0362	0.996
Breast-AdenoCA@SP117344	4655	0.962	1095.635	23.537	76.463	150.818	27.56	72.44	0.0502	0.839
Breast-AdenoCA@SP118074	6879	0.979	1331.203	19.352	80.648	197.884	20.663	79.337	0.035	0.956
Breast-AdenoCA@SP117598	1961	0.945	580.264	29.59	70.41	87.322	34.812	65.188	0.0741	0.867
Breast-AdenoCA@SP117312	2240	0.981	540.662	24.137	75.863	75.392	19.897	80.10300000000001	0.0634	0.97
Breast-AdenoCA@SP118038	9242	0.989	2050.105	22.182	77.818	350.892	14.609	85.391	0.0687	0.988
Breast-AdenoCA@SP117552	1255	0.965	359.976	28.683	71.31700000000001	49.968	26.614	73.386	0.0883	0.936
Breast-AdenoCA@SP118073	1892	0.961	582.915	30.809	69.191	81.707	27.781	72.219	0.0831	0.931
Breast-AdenoCA@SP117933	1203	0.944	390.063	32.424	67.576	56.272	34.257	65.743	0.088	0.881
Breast-AdenoCA@SP118012	1712	0.975	412.825	24.114	75.886	55.93	22.322	77.678	0.0565	0.953
Breast-AdenoCA@SP117108	1942	0.976	470.534	24.229	75.771	64.859	21.773	78.227	0.0513	0.957
Breast-AdenoCA@SP117812	1673	0.961	451.403	26.982	73.018	65.966	28.208	71.792	0.0757	0.92
Breast-AdenoCA@SP117354	3289	0.97	810.91	24.655	75.345	111.045	24.73	75.27	0.0531	0.936
Breast-AdenoCA@SP117370	1785	0.975	407.78	22.845	77.155	61.354	22.266	77.73400000000001	0.0584	0.956
Breast-AdenoCA@SP116991	2546	0.972	645.864	25.368	74.632	92.938	23.813	76.187	0.0634	0.951
Breast-AdenoCA@SP117629	5791	0.98	1140.949	19.702	80.298	144.06	20.263	79.737	0.0323	0.935
Breast-AdenoCA@SP124199	2850	0.952	901.664	31.637	68.363	148.184	30.631	69.369	0.0832	0.925
Breast-AdenoCA@SP124195	2055	0.971	572.115	27.84	72.16	80.791	24.206	75.794	0.0732	0.952
Breast-AdenoCA@SP117850	2062	0.982	472.701	22.924	77.076	69.149	18.994	81.006	0.0574	0.973
Breast-AdenoCA@SP117127	1500	0.964	426.359	28.424	71.576	60.114	26.495	73.505	0.0721	0.934
Breast-AdenoCA@SP117614	5449	0.968	1216.624	22.327	77.673	164.085	25.14	74.86	0.0436	0.879
Breast-AdenoCA@SP116948	3107	0.974	660.898	21.271	78.729	99.465	23.065	76.935	0.0466	0.946
Breast-AdenoCA@SP117409	7599	0.982	1259.133	16.57	83.43	170.978	18.803	81.197	0.0249	0.935
Breast-AdenoCA@SP117593	1775	0.951	572.944	32.279	67.721	85.857	31.707	68.293	0.0862	0.914
Breast-AdenoCA@SP117372	12716	0.998	1233.843	9.703	90.297	260.256	5.893	94.107	0.0172	0.998
Breast-AdenoCA@SP118077	2405	0.957	733.012	30.479	69.521	104.568	29.633	70.367	0.0816	0.919
Breast-AdenoCA@SP117840	2028	0.965	556.064	27.419	72.581	76.09	27.202	72.798	0.0635	0.928
Breast-AdenoCA@SP117363	4363	0.939	1496.293	34.295	65.705	207.549	35.32	64.68	0.1062	0.86
Breast-AdenoCA@SP117887	7616	0.959	1899.996	24.947	75.053	256.664	28.83	71.17	0.0537	0.828
Breast-AdenoCA@SP116946	2951	0.979	607.155	20.575	79.425	84.697	21.103	78.89699999999999	0.041	0.954
Breast-AdenoCA@SP117901	6676	0.973	1844.783	27.633	72.367	277.833	24.426	75.574	0.0911	0.959
Breast-AdenoCA@SP117454	1742	0.978	417.35	23.958	76.042	56.046	21.137	78.863	0.0652	0.96
Breast-AdenoCA@SP124197	23237	0.994	4160.278	17.904	82.096	621.796	10.58	89.42	0.0354	0.993
Breast-AdenoCA@SP117919	9003	0.974	1824.258	20.263	79.737	257.055	22.531	77.469	0.0385	0.927
Breast-AdenoCA@SP117250	8476	0.997	1083.87	12.788	87.212	205.841	7.239	92.761	0.0246	0.997
Breast-AdenoCA@SP117983	3547	0.979	833.521	23.499	76.501	119.347	20.633	79.367	0.0494	0.966
Breast-AdenoCA@SP117676	1863	0.969	505.031	27.108	72.892	70.684	25.053	74.947	0.0634	0.943
Breast-AdenoCA@SP117011	36115	0.999	3347.086	9.268	90.732	821.348	5.442	94.55799999999999	0.0189	0.998
Breast-AdenoCA@SP117057	2998	0.98	726.883	24.246	75.754	105.307	20.141	79.85900000000001	0.0656	0.97
Breast-AdenoCA@SP117126	2310	0.976	544.378	23.566	76.434	76.944	22.067	77.93299999999999	0.0528	0.957
Breast-AdenoCA@SP117728	1993	0.971	484.272	24.299	75.701	67.575	24.124	75.876	0.0577	0.939
Breast-AdenoCA@SP117618	1335	0.957	414.158	31.023	68.977	56.859	29.166	70.834	0.0869	0.915
Breast-AdenoCA@SP117257	1484	0.971	450.652	30.367	69.633	61.544	24.416	75.584	0.0942	0.955
Breast-AdenoCA@SP116963	1621	0.966	448.248	27.653	72.34700000000001	65.282	26.301	73.699	0.0749	0.939
Breast-AdenoCA@SP117078	5903	0.959	1546.819	26.204	73.79599999999999	233.941	28.684	71.316	0.056	0.911
Breast-AdenoCA@SP117944	8178	0.969	2277.195	27.845	72.155	317.318	26.228	73.77199999999999	0.0744	0.945
Breast-AdenoCA@SP117639	5730	0.977	1630.921	28.463	71.537	236.757	21.737	78.263	0.0804	0.968
Breast-AdenoCA@SP117834	5234	0.941	1638.278	31.301	68.699	232.986	35.678	64.322	0.0775	0.844
Breast-AdenoCA@SP117105	3650	0.981	740.014	20.274	79.726	108.139	19.49	80.51	0.0423	0.966
Breast-AdenoCA@SP117785	4439	0.982	1052.282	23.705	76.295	149.678	19.428	80.572	0.0526	0.972
Breast-AdenoCA@SP117882	2046	0.962	610.769	29.852	70.148	91.307	27.593	72.407	0.0906	0.937
Breast-AdenoCA@SP117778	2845	0.963	762.121	26.788	73.212	104.034	27.523	72.477	0.0601	0.914
Breast-AdenoCA@SP117032	2303	0.953	647.306	28.107	71.893	97.979	32.054	67.946	0.0787	0.896
Breast-AdenoCA@SP117710	2643	0.98	655.867	24.815	75.185	94.067	20.467	79.533	0.0645	0.97
Breast-AdenoCA@SP117538	9804	0.969	2164.919	22.082	77.918	300.869	24.861	75.139	0.0434	0.902
Breast-AdenoCA@SP124207	8646	0.974	1724.395	19.944	80.056	240.548	22.918	77.082	0.0372	0.908
Breast-AdenoCA@SP117800	4167	0.979	837.416	20.096	79.904	122.165	20.921	79.07900000000001	0.04	0.958
Breast-AdenoCA@SP117724	2867	0.962	775.059	27.034	72.96600000000001	118.447	27.964	72.036	0.061	0.93
Breast-AdenoCA@SP124193	2628	0.989	554.914	21.115	78.885	86.356	14.528	85.472	0.0466	0.987
Breast-AdenoCA@SP2293	65065	0.998	5932.839	9.118	90.882	1522.34	5.857	94.143	0.0236	0.998
Breast-AdenoCA@SP2357	10361	0.956	2773.666	26.77	73.23	373.729	29.598	70.402	0.0645	0.854
Breast-AdenoCA@SP2144	6115	0.979	1186.051	19.396	80.604	162.357	20.286	79.714	0.036	0.948
Breast-AdenoCA@SP2145	5909	0.973	1310.53	22.179	77.821	183.887	23.356	76.644	0.049	0.933
Breast-AdenoCA@SP2147	12000	0.974	2407.237	20.06	79.94	328.345	22.679	77.321	0.0362	0.907
Breast-AdenoCA@SP2146	5122	0.977	1083.972	21.163	78.837	140.436	21.464	78.536	0.04	0.938
Breast-AdenoCA@SP2148	6788	0.993	992.222	14.617	85.383	151.413	11.54	88.46000000000001	0.0231	0.991
Breast-AdenoCA@SP2150	3327	0.945	1066.31	32.05	67.95	155.858	34.132	65.868	0.0881	0.883
Breast-AdenoCA@SP2152	2032	0.972	491.129	24.17	75.83	72.828	23.554	76.446	0.0538	0.95
Breast-AdenoCA@SP2349	5938	0.978	1334.092	22.467	77.533	201.344	21.239	78.761	0.0481	0.962
Breast-AdenoCA@SP2155	8974	0.976	1780.732	19.843	80.157	248.641	21.83	78.17	0.0392	0.934
Breast-AdenoCA@SP2154	10328	0.966	2248.658	21.772	78.22800000000001	310.393	25.875	74.125	0.0404	0.845
Breast-AdenoCA@SP2158	5746	0.958	1756.27	30.565	69.435	261.417	29.971	70.029	0.0948	0.929
Breast-AdenoCA@SP2156	4916	0.975	1118.892	22.76	77.24	153.721	22.342	77.658	0.0537	0.946
Breast-AdenoCA@SP2159	7174	0.997	1045.276	14.57	85.43	163.557	7.443	92.557	0.0324	0.997
Breast-AdenoCA@SP2153	11161	0.972	2469.125	22.123	77.877	377.453	23.38	76.62	0.0491	0.944
Breast-AdenoCA@SP2160	2493	0.957	680.474	27.295	72.705	97.867	30.119	69.881	0.0673	0.899
Breast-AdenoCA@SP2151	2108	0.983	509.275	24.159	75.84100000000001	68.539	19.403	80.59700000000001	0.0627	0.974
Breast-AdenoCA@SP116341	9847	0.988	1503.454	15.268	84.732	206.175	15.663	84.337	0.0294	0.971
Breast-AdenoCA@SP116331	5190	0.978	998.182	19.233	80.767	145.185	21.319	78.681	0.0331	0.946
Breast-AdenoCA@SP116351	3266	0.968	773.233	23.675	76.325	116.895	25.457	74.543	0.0511	0.934
Breast-AdenoCA@SP116371	4580	0.98	948.797	20.716	79.28399999999999	126.276	19.943	80.057	0.0431	0.956
Breast-AdenoCA@SP116361	10544	0.996	1825.762	17.316	82.684	267.802	9.126	90.874	0.0468	0.995
Breast-AdenoCA@SP116343	6647	0.975	1459.603	21.959	78.041	189.799	22.163	77.837	0.0396	0.933
Breast-AdenoCA@SP116333	4623	0.976	892.94	19.315	80.685	124.171	21.772	78.22800000000001	0.0432	0.926
Breast-AdenoCA@SP116373	9037	0.965	2133.356	23.607	76.393	285.008	26.551	73.449	0.0488	0.867
Breast-AdenoCA@SP116363	6442	0.974	1292.67	20.066	79.934	174.723	22.813	77.187	0.0396	0.9
Breast-AdenoCA@SP116353	9946	0.98	1829.62	18.396	81.604	257.032	19.953	80.047	0.0326	0.947
Breast-AdenoCA@SP116345	2899	0.971	729.256	25.155	74.845	95.723	24.415	75.58500000000001	0.0488	0.933
Breast-AdenoCA@SP116365	6379	0.991	931.346	14.6	85.4	124.389	13.677	86.32300000000001	0.028	0.981
Breast-AdenoCA@SP116375	7871	0.975	1585.118	20.139	79.861	246.173	22.912	77.088	0.0386	0.948
Breast-AdenoCA@SP116335	6730	0.981	1140.869	16.952	83.048	156.063	19.478	80.52199999999999	0.0293	0.927
Breast-AdenoCA@SP116355	10048	0.971	2309.895	22.989	77.011	307.529	24.017	75.983	0.0517	0.919
Breast-AdenoCA@SP116347	2670	0.973	680.783	25.497	74.503	95.765	23.163	76.837	0.0644	0.953
Breast-AdenoCA@SP116367	8434	0.985	1302.608	15.445	84.555	174.247	17.625	82.375	0.0282	0.939
Breast-AdenoCA@SP116339	3930	0.978	762.705	19.407	80.593	107.557	21.076	78.924	0.036	0.941
Breast-AdenoCA@SP116349	2883	0.965	698.164	24.217	75.783	104.829	26.788	73.212	0.0633	0.921
Breast-AdenoCA@SP116357	7376	0.972	1528.612	20.724	79.276	215.046	23.892	76.108	0.0423	0.906
Breast-AdenoCA@SP116359	9227	0.988	1538.011	16.669	83.331	206.673	15.681	84.319	0.0295	0.975
Breast-AdenoCA@SP116369	11559	0.977	2126.713	18.399	81.601	299.594	21.577	78.423	0.0338	0.918
Breast-AdenoCA@SP116377	8813	0.983	1525.391	17.308	82.69200000000001	205.733	18.32	81.68	0.03	0.953
Breast-AdenoCA@SP116379	5097	0.97	1145.844	22.481	77.519	174.039	24.852	75.148	0.0479	0.937
Breast-AdenoCA@SP7692	21978	0.996	3647.908	16.598	83.402	619.869	9.121	90.879	0.0595	0.995
Breast-AdenoCA@SP5052	18803	0.932	5856.619	31.147	68.85300000000001	815.264	36.533	63.467	0.0828	0.721
Breast-AdenoCA@SP7785	9473	0.968	2160.917	22.811	77.189	290.855	25.212	74.788	0.0463	0.891
Breast-AdenoCA@SP3415	8909	0.985	1703.702	19.123	80.877	246.179	17.163	82.837	0.0362	0.975
Breast-AdenoCA@SP2799	2445	0.965	651.066	26.628	73.372	88.207	26.703	73.297	0.057	0.921
Breast-AdenoCA@SP9979	1735	0.977	387.666	22.344	77.656	54.687	21.665	78.33500000000001	0.0534	0.955
